This is my awesome data!,,,,,
,,,,,
,vegetable,variety,date,weight,units
,jalapeño,giant,9/4/20,58,grams
,corn,Dorinny Sweet,9/5/20,214,grams
,edamame,edamame,9/5/20,1644,grams
,tomatoes,volunteers,9/6/20,2377,grams
,tomatoes,Bonny Best,9/6/20,710,grams
,tomatoes,Amish Paste,9/6/20,1317,grams
,tomatoes,Big Beef,9/6/20,1649,grams
,tomatoes,grape,9/6/20,615,grams
,zucchini,Romanesco,9/7/20,3284,grams
,zucchini,Romanesco,9/8/20,1300,grams
,potatoes,yellow,9/9/20,843,grams
,broccoli,Main Crop Bravado,9/9/20,102,grams
,Swiss chard,Neon Glow,9/9/20,228,grams
,tomatoes,Amish Paste,9/10/20,692,grams
,tomatoes,Old German,9/10/20,674,grams
,tomatoes,Better Boy,9/10/20,1392,grams
,tomatoes,Mortgage Lifter,9/10/20,316,grams
,tomatoes,Jet Star,9/10/20,754,grams
,tomatoes,volunteers,9/10/20,413,grams
,tomatoes,grape,9/10/20,509,grams
,kale,Heirloom Lacinto,9/12/20,108,grams
,tomatoes,grape,9/15/20,258,grams
,tomatoes,volunteers,9/15/20,725,grams
,potatoes,Russet,9/16/20,629,grams
,broccoli,Main Crop Bravado,9/16/20,219,grams
,lettuce,Lettuce Mixture,9/16/20,8,grams
,carrots,King Midas,9/17/20,160,grams
,carrots,Bolero,9/17/20,168,grams
,kohlrabi,Crispy Colors Duo,9/17/20,191,grams
,tomatoes,volunteers,9/17/20,212,grams
,tomatoes,Brandywine,9/18/20,714,grams
,tomatoes,Amish Paste,9/18/20,228,grams
,tomatoes,Better Boy,9/18/20,670,grams
,tomatoes,Bonny Best,9/18/20,1052,grams
,tomatoes,Old German,9/18/20,1631,grams
,raspberries,perrenial,9/18/20,137,grams
,tomatoes,volunteers,9/19/20,2934,grams
,tomatoes,Big Beef,9/19/20,304,grams
,tomatoes,grape,9/19/20,1058,grams
,squash,delicata,9/19/20,307,grams
,squash,delicata,9/19/20,397,grams
,squash,delicata,9/19/20,537,grams
,squash,delicata,9/19/20,314,grams
,squash,delicata,9/19/20,494,grams
,squash,delicata,9/19/20,484,grams
,squash,delicata,9/19/20,454,grams
,squash,delicata,9/19/20,480,grams
,squash,delicata,9/19/20,252,grams
,squash,delicata,9/19/20,294,grams
,squash,delicata,9/19/20,437,grams
,squash,Waltham Butternut,9/19/20,1834,grams
,squash,Waltham Butternut,9/19/20,1655,grams
,squash,Waltham Butternut,9/19/20,1927,grams
,squash,Waltham Butternut,9/19/20,1558,grams
,squash,Waltham Butternut,9/19/20,1183,grams
,squash,Red Kuri,9/19/20,1178,grams
,squash,Red Kuri,9/19/20,706,grams
,squash,Red Kuri,9/19/20,1686,grams
,squash,Red Kuri,9/19/20,1785,grams
,squash,Blue (saved),9/19/20,1923,grams
,squash,Blue (saved),9/19/20,2120,grams
,squash,Blue (saved),9/19/20,2325,grams
,squash,Blue (saved),9/19/20,1172,grams
,pumpkins,Cinderella's Carraige,9/19/20,1311,grams
,pumpkins,Cinderella's Carraige,9/19/20,6250,grams
,pumpkins,saved,9/19/20,1154,grams
,pumpkins,saved,9/19/20,1208,grams
,pumpkins,saved,9/19/20,2882,grams
,pumpkins,saved,9/19/20,2689,grams
,pumpkins,saved,9/19/20,3441,grams
,pumpkins,saved,9/19/20,7050,grams
,pumpkins,New England Sugar,9/19/20,1109,grams
,pumpkins,New England Sugar,9/19/20,1028,grams
,pumpkins,New England Sugar,9/19/20,1131,grams
,pumpkins,New England Sugar,9/19/20,1302,grams
,pumpkins,New England Sugar,9/19/20,1570,grams
,pumpkins,New England Sugar,9/19/20,1359,grams
,pumpkins,New England Sugar,9/19/20,1608,grams
,pumpkins,New England Sugar,9/19/20,2277,grams
,pumpkins,New England Sugar,9/19/20,1743,grams
,pumpkins,New England Sugar,9/19/20,2931,grams
,kale,Heirloom Lacinto,9/20/20,163,grams
,tomatoes,Bonny Best,9/21/20,714,grams
,tomatoes,volunteers,9/21/20,95,grams
,tomatoes,Bonny Best,9/25/20,477,grams
,tomatoes,Amish Paste,9/25/20,2738,grams
,tomatoes,Black Krim,9/25/20,236,grams
,tomatoes,Old German,9/25/20,1823,grams
,tomatoes,grape,9/25/20,819,grams
,tomatoes,Mortgage Lifter,9/25/20,2006,grams
,tomatoes,Big Beef,9/25/20,659,grams
,tomatoes,Better Boy,9/25/20,1239,grams
,tomatoes,volunteers,9/25/20,1978,grams
,kale,Heirloom Lacinto,9/25/20,28,grams
,Swiss chard,Neon Glow,9/25/20,24,grams
,broccoli,Main Crop Bravado,9/25/20,75,grams
,peppers,variety,9/25/20,84,grams
,apple,unknown,9/26/20,156,grams
,lettuce,Lettuce Mixture,9/26/20,95,grams
,beans,Bush Bush Slender,9/27/20,94,grams
,beans,Classic Slenderette,9/28/20,81,grams
,lettuce,Lettuce Mixture,9/29/20,139,grams
,broccoli,Main Crop Bravado,9/30/20,134,grams
,carrots,Dragon,10/1/20,883,grams
,carrots,Bolero,10/2/20,449,grams
,Swiss chard,Neon Glow,10/3/20,232,grams
