This is my awesome data!,,,,,
,,,,,
,vegetable,variety,date,weight,units
,cucumbers,pickling,7/14/20,152,grams
,peas,Magnolia Blossom,7/14/20,207,grams
,peas,Super Sugar Snap,7/14/20,526,grams
,raspberries,perrenial,7/14/20,152,grams
,zucchini,Romanesco,7/15/20,393,grams
,beans,Bush Bush Slender,7/15/20,743,grams
,cucumbers,pickling,7/15/20,1057,grams
,spinach,Catalina,7/15/20,39,grams
,Swiss chard,Neon Glow,7/16/20,29,grams
,lettuce,Farmer's Market Blend,7/16/20,61,grams
,onions,Delicious Duo,7/16/20,50,grams
,strawberries,perrenial,7/17/20,88,grams
,cilantro,cilantro,7/17/20,33,grams
,basil,Isle of Naxos,7/17/20,16,grams
,jalapeño,giant,7/17/20,20,grams
,cucumbers,pickling,7/17/20,347,grams
,raspberries,perrenial,7/18/20,77,grams
,beets,Sweet Merlin,7/18/20,172,grams
,kale,Heirloom Lacinto,7/18/20,61,grams
,zucchini,Romanesco,7/18/20,81,grams
,cucumbers,pickling,7/18/20,294,grams
,beans,Bush Bush Slender,7/18/20,660,grams
,kale,Heirloom Lacinto,7/19/20,113,grams
,cucumbers,pickling,7/19/20,531,grams
,zucchini,Romanesco,7/19/20,344,grams
,strawberries,perrenial,7/19/20,37,grams
,peas,Magnolia Blossom,7/19/20,140,grams
,zucchini,Romanesco,7/20/20,134,grams
,cucumbers,pickling,7/20/20,179,grams
,peas,Super Sugar Snap,7/20/20,336,grams
,beets,Gourmet Golden,7/20/20,107,grams
,kale,Heirloom Lacinto,7/20/20,128,grams
,hot peppers,thai,7/20/20,12,grams
,beans,Bush Bush Slender,7/20/20,519,grams
,hot peppers,variety,7/20/20,559,grams
,jalapeño,giant,7/20/20,197,grams
,lettuce,Tatsoi,7/20/20,123,grams
,Swiss chard,Neon Glow,7/20/20,178,grams
,onions,Long Keeping Rainbow,7/20/20,102,grams
,zucchini,Romanesco,7/21/20,110,grams
,tomatoes,grape,7/21/20,86,grams
,tomatoes,Big Beef,7/21/20,137,grams
,tomatoes,Bonny Best,7/21/20,339,grams
,beans,Bush Bush Slender,7/21/20,21,grams
,spinach,Catalina,7/21/20,21,grams
,basil,Isle of Naxos,7/21/20,7,grams
,zucchini,Romanesco,7/22/20,76,grams
,beans,Bush Bush Slender,7/22/20,351,grams
,cucumbers,pickling,7/22/20,655,grams
,lettuce,Lettuce Mixture,7/22/20,23,grams
,beans,Bush Bush Slender,7/23/20,129,grams
,carrots,King Midas,7/23/20,56,grams
,Swiss chard,Neon Glow,7/23/20,466,grams
,onions,Long Keeping Rainbow,7/23/20,91,grams
,lettuce,Lettuce Mixture,7/23/20,130,grams
,cucumbers,pickling,7/24/20,525,grams
,tomatoes,grape,7/24/20,31,grams
,tomatoes,Bonny Best,7/24/20,140,grams
,tomatoes,Cherokee Purple,7/24/20,247,grams
,tomatoes,Better Boy,7/24/20,220,grams
,zucchini,Romanesco,7/24/20,1321,grams
,beans,Bush Bush Slender,7/24/20,100,grams
,raspberries,perrenial,7/24/20,32,grams
,strawberries,perrenial,7/24/20,93,grams
,lettuce,Lettuce Mixture,7/24/20,16,grams
,basil,Isle of Naxos,7/24/20,3,grams
,peppers,variety,7/24/20,68,grams
,carrots,King Midas,7/24/20,178,grams
,carrots,Dragon,7/24/20,80,grams
,tomatoes,Amish Paste,7/25/20,463,grams
,tomatoes,grape,7/25/20,106,grams
,kale,Heirloom Lacinto,7/25/20,121,grams
,cucumbers,pickling,7/25/20,901,grams
,lettuce,Lettuce Mixture,7/26/20,81,grams
,tomatoes,Bonny Best,7/26/20,148,grams
,zucchini,Romanesco,7/27/20,1542,grams
,beans,Bush Bush Slender,7/27/20,728,grams
,cucumbers,pickling,7/27/20,785,grams
,strawberries,perrenial,7/27/20,113,grams
,raspberries,perrenial,7/27/20,29,grams
,tomatoes,Mortgage Lifter,7/27/20,801,grams
,lettuce,Lettuce Mixture,7/27/20,99,grams
,beets,Sweet Merlin,7/27/20,49,grams
,beets,Gourmet Golden,7/27/20,149,grams
,radish,Garden Party Mix,7/27/20,39,grams
,carrots,King Midas,7/27/20,174,grams
,onions,Long Keeping Rainbow,7/27/20,129,grams
,broccoli,Yod Fah,7/27/20,372,grams
,carrots,King Midas,7/28/20,160,grams
,tomatoes,Old German,7/28/20,611,grams
,tomatoes,Big Beef,7/28/20,203,grams
,tomatoes,Better Boy,7/28/20,312,grams
,tomatoes,Jet Star,7/28/20,315,grams
,tomatoes,grape,7/28/20,131,grams
,lettuce,Lettuce Mixture,7/28/20,91,grams
,cucumbers,pickling,7/28/20,76,grams
,tomatoes,Bonny Best,7/29/20,153,grams
,tomatoes,Better Boy,7/29/20,442,grams
,tomatoes,Cherokee Purple,7/29/20,240,grams
,tomatoes,Amish Paste,7/29/20,209,grams
,lettuce,Lettuce Mixture,7/29/20,73,grams
,tomatoes,grape,7/29/20,40,grams
,zucchini,Romanesco,7/29/20,457,grams
,cucumbers,pickling,7/29/20,514,grams
,beans,Bush Bush Slender,7/29/20,305,grams
,kale,Heirloom Lacinto,7/29/20,280,grams
,tomatoes,grape,7/30/20,91,grams
,beets,Sweet Merlin,7/30/20,101,grams
,onions,Long Keeping Rainbow,7/30/20,19,grams
,lettuce,Lettuce Mixture,7/30/20,94,grams
,carrots,Bolero,7/30/20,116,grams
,carrots,King Midas,7/30/20,107,grams
,cucumbers,pickling,7/30/20,626,grams
,tomatoes,Cherokee Purple,7/31/20,307,grams
,tomatoes,Amish Paste,7/31/20,197,grams
,tomatoes,Old German,7/31/20,633,grams
,tomatoes,Better Boy,7/31/20,290,grams
,tomatoes,grape,7/31/20,100,grams
,zucchini,Romanesco,7/31/20,1215,grams
,beans,Bush Bush Slender,7/31/20,592,grams
,strawberries,perrenial,7/31/20,23,grams
,spinach,Catalina,7/31/20,31,grams
